regime,model,n_hours,MAE (EUR/MWh),sMAPE (%),rMAE vs naive,DM stat vs naive,DM p-value vs naive,NW lag
"2022 (H2, crisis)",naive,4272,32.2478,29.3857,1.0000,,,
"2022 (H2, crisis)",LEAR ar-only,4272,20.0136,17.6216,0.6206,7.8490,0.0000,23.0000
"2022 (H2, crisis)",LEAR demand+wind,4272,18.2632,16.0957,0.5663,9.2796,0.0000,23.0000
"2022 (H2, crisis)",LEAR demand+solar+wind,4272,18.2717,15.9824,0.5666,9.2221,0.0000,23.0000
2023 (full year),naive,8663,28.5507,48.5210,1.0000,,,
2023 (full year),LEAR ar-only,8663,14.7555,25.8396,0.5168,13.0453,0.0000,23.0000
2023 (full year),LEAR demand+wind,8663,12.8994,24.5560,0.4518,14.4965,0.0000,23.0000
2023 (full year),LEAR demand+solar+wind,8663,13.4149,24.4634,0.4699,13.9714,0.0000,23.0000
2024 (full year),naive,8591,27.4344,75.5185,1.0000,,,
2024 (full year),LEAR ar-only,8591,15.3693,52.8736,0.5602,11.4125,0.0000,23.0000
2024 (full year),LEAR demand+wind,8591,14.0107,51.0253,0.5107,11.8907,0.0000,23.0000
2024 (full year),LEAR demand+solar+wind,8591,14.7727,51.5590,0.5385,11.7144,0.0000,23.0000
2023-2024 pooled,naive,17254,27.9965,61.8370,1.0000,,,
2023-2024 pooled,LEAR ar-only,17254,15.0633,39.3970,0.5380,17.2199,0.0000,23.0000
2023-2024 pooled,LEAR demand+wind,17254,13.4568,37.8303,0.4807,18.4963,0.0000,23.0000
2023-2024 pooled,LEAR demand+solar+wind,17254,14.0958,38.0518,0.5035,18.0672,0.0000,23.0000
