regime,model,n_hours,MAE (EUR/MWh),sMAPE (%),rMAE vs naive,DM stat vs naive,DM p-value vs naive,NW lag
"2022 (H2, crisis)",naive,4272,32.2478,29.3857,1.0000,,,
"2022 (H2, crisis)",LEAR ar-only,4272,20.0136,17.6216,0.6206,7.8490,0.0000,23.0000
"2022 (H2, crisis)",LEAR ar-only + TI,4272,21.2458,17.9042,0.6588,7.0523,0.0000,23.0000
"2022 (H2, crisis)",LEAR demand+wind,4272,18.2632,16.0957,0.5663,9.2796,0.0000,23.0000
"2022 (H2, crisis)",LEAR demand+wind + TI,4272,19.8270,16.9444,0.6148,7.8561,0.0000,23.0000
"2022 (H2, crisis)",LEAR demand+solar+wind + TI,4272,19.9547,17.0163,0.6188,7.6997,0.0000,23.0000
2023 (full year),naive,8663,28.5507,48.5210,1.0000,,,
2023 (full year),LEAR ar-only,8663,14.7555,25.8396,0.5168,13.0453,0.0000,23.0000
2023 (full year),LEAR ar-only + TI,8663,17.4936,30.8768,0.6127,9.9674,0.0000,23.0000
2023 (full year),LEAR demand+wind,8663,12.8994,24.5560,0.4518,14.4965,0.0000,23.0000
2023 (full year),LEAR demand+wind + TI,8663,15.3651,28.2319,0.5382,11.4042,0.0000,23.0000
2023 (full year),LEAR demand+solar+wind + TI,8663,15.5825,28.7226,0.5458,11.1617,0.0000,23.0000
2024 (full year),naive,8591,27.4344,75.5185,1.0000,,,
2024 (full year),LEAR ar-only,8591,15.3693,52.8736,0.5602,11.4125,0.0000,23.0000
2024 (full year),LEAR ar-only + TI,8591,18.2307,62.9407,0.6645,7.5621,0.0000,23.0000
2024 (full year),LEAR demand+wind,8591,14.0107,51.0253,0.5107,11.8907,0.0000,23.0000
2024 (full year),LEAR demand+wind + TI,8591,16.6065,61.7448,0.6053,8.1371,0.0000,23.0000
2024 (full year),LEAR demand+solar+wind + TI,8591,16.7766,61.5930,0.6115,7.9900,0.0000,23.0000
2023-2024 pooled,naive,17254,27.9965,61.8370,1.0000,,,
2023-2024 pooled,LEAR ar-only,17254,15.0633,39.3970,0.5380,17.2199,0.0000,23.0000
2023-2024 pooled,LEAR ar-only + TI,17254,17.7570,42.3341,0.6343,12.5011,0.0000,23.0000
2023-2024 pooled,LEAR demand+wind,17254,13.4568,37.8303,0.4807,18.4963,0.0000,23.0000
2023-2024 pooled,LEAR demand+wind + TI,17254,15.8087,40.2069,0.5647,13.9878,0.0000,23.0000
2023-2024 pooled,LEAR demand+solar+wind + TI,17254,16.0092,40.4681,0.5718,13.7081,0.0000,23.0000
